"year","station_name","station_long","station_lat","high","low","total_rainfall"
1985,"Paisley",-4.42966,55.8455,18,-1.2,1339.6
1985,"Ross-on-Wye",-2.58441,51.91075,21.1,-2.2,718.5
1985,"Shawbury",-2.66329,52.79433,20.1,-2.6,664.8
1985,"Sheffield",-1.48986,53.38101,20.4,-0.8,674.1
1985,"Stornoway Airport",-6.31772,58.21382,15.6,0.7,1241.2
1985,"Sutton Bonington",-1.25,52.8331,20.4,-2.2,594.5
1985,"Tiree",-6.8796,56.49999,15.5,0.2,1278.5
1985,"Valley",-4.53524,53.25238,17.9,-0.4,870
1985,"Waddington",-0.52173,53.17509,20.2,-1.9,610.5
1985,"Whitby",-0.62411,54.48073,NA,NA,594.2
1985,"Wick Airport",-3.0884,58.45406,15.5,-1,1000.5
1985,"Yeovilton",-2.64148,51.00586,21.4,-3.2,631.2
1986,"Aberporth",-4.56999,52.13914,17.6,-2.7,884.9
1986,"Armagh",-6.64866,54.35234,18.6,-1.7,862.6
1986,"Ballypatrick Forest",-6.15336,55.18062,16,-1.4,0
1986,"Bradford",-1.77234,53.81341,18.6,-2.8,989.4
1986,"Braemar",-3.39635,57.00612,17.6,-6.7,968.6
1986,"Camborne",-5.32656,50.21782,17.6,-0.8,1204.2
1986,"Cambridge NIAB",0.10196,52.24501,21.7,-4,577.2
1986,"Cardiff Bute Park",-3.18728,51.48783,20.5,-2.3,1199
1986,"Dunstaffnage",-5.43859,56.45054,17.9,-1.4,1809.5
1986,"Durham",-1.58455,54.76786,19.2,-3,709.3
1986,"Eastbourne",0.28543,50.76167,19.8,-1.7,812.6
1986,"Eskdalemuir",-3.206,55.311,17,-4.7,1962
1986,"Heathrow",-0.44904,51.47872,22.6,-2.7,637
1986,"Hurn",-1.83483,50.7789,21.4,-3.3,887.9
1986,"Lerwick",-1.18299,60.13946,13.6,-0.3,1282.6
1986,"Leuchars",-2.86051,56.37745,19.3,-2,607.9
1986,"Lowestoft",1.72679,52.48323,NA,NA,527.7
1986,"Manston",1.33716,51.34597,21.3,-2.8,575.4
1986,"Nairn",-3.82097,57.593,17.8,-2.7,502.6
1986,"Newton Rigg",-2.78644,54.6699,18.7,-3.7,931.8
1986,"Oxford",-1.2625,51.76073,21.5,-4.1,704.1
1986,"Paisley",-4.42966,55.8455,18.6,-1.8,1438.4
1986,"Ross-on-Wye",-2.58441,51.91075,21.2,-3.5,768.5
1986,"Shawbury",-2.66329,52.79433,20.1,-3.9,640
1986,"Sheffield",-1.48986,53.38101,20,-3,998.1
1986,"Stornoway Airport",-6.31772,58.21382,15.2,-0.8,1303
1986,"Sutton Bonington",-1.25,52.8331,20.6,-4.1,614.3
1986,"Tiree",-6.8796,56.49999,15.4,-1,1313.8
1986,"Valley",-4.53524,53.25238,18.3,-2.3,901.2
1986,"Waddington",-0.52173,53.17509,20.4,-3.7,624.5
1986,"Whitby",-0.62411,54.48073,18.8,-1.8,615.7
1986,"Wick Airport",-3.0884,58.45406,15.6,-1.4,734.6
1986,"Yeovilton",-2.64148,51.00586,20.7,-3.3,765.5
1987,"Aberporth",-4.56999,52.13914,17.5,0,851.7
1987,"Armagh",-6.64866,54.35234,19.9,-0.2,732.2
1987,"Ballypatrick Forest",-6.15336,55.18062,16.8,0.1,0
1987,"Bradford",-1.77234,53.81341,18.7,-1.5,792.4
1987,"Braemar",-3.39635,57.00612,17.2,-4.6,739.6
1987,"Camborne",-5.32656,50.21782,18.7,1.4,1006.7
1987,"Cambridge NIAB",0.10196,52.24501,20.6,-2.1,617.9
1987,"Cardiff Bute Park",-3.18728,51.48783,21.6,-0.6,1020.5
1987,"Dunstaffnage",-5.43859,56.45054,17.6,0,1547.1
1987,"Durham",-1.58455,54.76786,19,-1.5,729.9
1987,"Eastbourne",0.28543,50.76167,20,-0.4,909
1987,"Eskdalemuir",-3.206,55.311,17.6,-3.9,1524.7
1987,"Heathrow",-0.44904,51.47872,21.8,-1,654
1987,"Hurn",-1.83483,50.7789,21.8,-1.7,728.5
1987,"Lerwick",-1.18299,60.13946,14.2,0.5,1166.1
1987,"Leuchars",-2.86051,56.37745,19,-1.4,707.2
1987,"Lowestoft",1.72679,52.48323,20.3,-0.8,646.6
1987,"Manston",1.33716,51.34597,20.8,-1.3,671.7
1987,"Nairn",-3.82097,57.593,17.6,-1.2,612.8
1987,"Newton Rigg",-2.78644,54.6699,19.1,-2.4,982
1987,"Oxford",-1.2625,51.76073,21.2,-1.4,595.6
1987,"Paisley",-4.42966,55.8455,19.3,-0.7,1120.2
1987,"Ross-on-Wye",-2.58441,51.91075,21.4,-1.6,658.7
1987,"Shawbury",-2.66329,52.79433,19.6,-2.9,680.6
1987,"Sheffield",-1.48986,53.38101,19.8,-1.1,789.3
1987,"Stornoway Airport",-6.31772,58.21382,15.3,0.8,1050.9
1987,"Sutton Bonington",-1.25,52.8331,20.1,-1.9,626.4
1987,"Tiree",-6.8796,56.49999,15.9,1.8,1206.4
1987,"Valley",-4.53524,53.25238,18.1,0.3,864.2
1987,"Waddington",-0.52173,53.17509,19.5,-1.6,694.3
1987,"Whitby",-0.62411,54.48073,17.4,-0.7,627.8
1987,"Wick Airport",-3.0884,58.45406,15,0.1,808
1987,"Yeovilton",-2.64148,51.00586,21.3,-1.9,619.9
1988,"Aberporth",-4.56999,52.13914,16.9,2.8,898.1
1988,"Armagh",-6.64866,54.35234,19.6,1.5,880.2
1988,"Ballypatrick Forest",-6.15336,55.18062,16,1.4,163.5
1988,"Bradford",-1.77234,53.81341,18.1,1.8,924.9
1988,"Braemar",-3.39635,57.00612,19.3,-1.1,951.5
1988,"Camborne",-5.32656,50.21782,17.7,3.9,1193.3
1988,"Cambridge NIAB",0.10196,52.24501,21.4,1.2,589
1988,"Cardiff Bute Park",-3.18728,51.48783,19.8,1.9,1166.3
1988,"Dunstaffnage",-5.43859,56.45054,17.7,2.2,1835.4
1988,"Durham",-1.58455,54.76786,19.3,1.3,642.7
1988,"Eastbourne",0.28543,50.76167,19.2,3.2,762.3
1988,"Eskdalemuir",-3.206,55.311,17.8,-0.2,1746.3
1988,"Heathrow",-0.44904,51.47872,21.8,1.8,552.1
1988,"Hurn",-1.83483,50.7789,20.4,0.5,728.4
1988,"Lerwick",-1.18299,60.13946,14.4,0.8,1302.5
1988,"Leuchars",-2.86051,56.37745,18.7,0.5,758.4
1988,"Lowestoft",1.72679,52.48323,20.9,2.1,572.8
1988,"Manston",1.33716,51.34597,21.1,2.2,561.8
1988,"Nairn",-3.82097,57.593,17.9,0.3,698.1
1988,"Newton Rigg",-2.78644,54.6699,19.3,1,991.3
1988,"Oxford",-1.2625,51.76073,20.4,1.6,571.1
1988,"Paisley",-4.42966,55.8455,20,1.8,1283.5
1988,"Ross-on-Wye",-2.58441,51.91075,19.9,0.6,582.1
1988,"Shawbury",-2.66329,52.79433,19.2,-0.1,681.4
1988,"Sheffield",-1.48986,53.38101,19.5,2.2,915
1988,"Stornoway Airport",-6.31772,58.21382,15.2,2,1295.2
1988,"Sutton Bonington",-1.25,52.8331,19.9,0.8,626.4
1988,"Tiree",-6.8796,56.49999,15.4,2.6,1363.3
1988,"Valley",-4.53524,53.25238,18.5,3.5,833.4
1988,"Waddington",-0.52173,53.17509,19.9,1.4,612.8
1988,"Whitby",-0.62411,54.48073,18,2.2,575.2
1988,"Wick Airport",-3.0884,58.45406,15.6,1.1,829.7
1988,"Yeovilton",-2.64148,51.00586,20,0.5,667.9
1989,"Aberporth",-4.56999,52.13914,19.7,2.9,784.3
1989,"Armagh",-6.64866,54.35234,23.8,1,665.5
1989,"Ballypatrick Forest",-6.15336,55.18062,19.9,1.4,1055.7
1989,"Bradford",-1.77234,53.81341,21.4,2.4,707.3
1989,"Braemar",-3.39635,57.00612,21.3,-3.7,778.4
1989,"Camborne",-5.32656,50.21782,20.9,4.4,955.3
1989,"Cambridge NIAB",0.10196,52.24501,24.8,2.5,518.1
1989,"Cardiff Bute Park",-3.18728,51.48783,24.7,2.9,1059.1
1989,"Dunstaffnage",-5.43859,56.45054,19.7,1.4,1974.4
1989,"Durham",-1.58455,54.76786,22.5,0.5,415.9
1989,"Eastbourne",0.28543,50.76167,22.2,4.9,665.2
1989,"Eskdalemuir",-3.206,55.311,21.5,-0.9,1570.8
1989,"Heathrow",-0.44904,51.47872,25.8,2.6,533.7
1989,"Hurn",-1.83483,50.7789,24.9,2,780
1989,"Lerwick",-1.18299,60.13946,14.1,1.6,1225.7
